<<<<<<< HEAD
﻿Country,Region,Gender,Age-years,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access
Canada,Ontario,Male,14,Right-handed,168,26,173,1,Walk,1,0.281,28,Football/Soccer,481,487,487,791,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Tasmania,Male,16,Right-handed,183,26,193,2,Bus,22,0.28,31,Football/Soccer,722,243,728,905,456,456
,,,,,,,,,,,,,,,,,,,
UK,Home Counties,Male,14,Right-handed,169,26,166,1,Car,15,0.5,38,Skateboarding/Rollerblading,242,500,743,1000,470,313
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,16,Right-handed,165,19,165.5,1,Bus,40,0.514,33,Swimming,754,455,123,187,43,176
,,,,,,,,,,,,,,,,,,,
Australia,Australian Capitol Territory,Female,8,Right-handed,150,25,140,1,Walk,3,0.5,53,Other activities/sports,196,563,409,383,172,456
,,,,,,,,,,,,,,,,,,,
UK,North West,Female,15,Right-handed,165,22.5,168,1,Car,5,3.3,38,Dancing,595,584,964,660,989,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,13,Right-handed,161,23,154,1,Bus,45,0.53,,Dancing,500,,250,,,
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,11,Right-handed,149,21,144,1,Car,5,0.36,37,Basketball,755,713,611,599,815,880
,,,,,,,,,,,,,,,,,,,
New Zealand,Northland,Male,15,Right-handed,165,23,25,2,Car,15,0.359,,Rugby,500,,500,,,
,,,,,,,,,,,,,,,,,,,
New Zealand,Wellington,Male,12,Right-handed,146,21,142,3,Cycle,15,1.859,,Hockey (Field),750,,1000,,,
,,,,,,,,,,,,,,,,,,,
New Zealand,Northland,Male,15,Ambidextrous,146,27,168,1,Car,5,0.344,,Other activities/sports,750,,750,,,
,,,,,,,,,,,,,,,,,,,
Canada,New Brunswick,Male,16,Right-handed,175,25.5,185,1,Car,10,0.27,44,Basketball,674,380,599,690,893,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,17,Right-handed,166,27.5,162,1,Car,15,0.662,46,Dancing,1000,1000,406,471,658,813
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,14,Right-handed,166,25,173,1,Walk,25,0.625,,Dancing,500,,750,,,
,,,,,,,,,,,,,,,,,,,
New Zealand,Wellington,Female,13,Right-handed,155,22,156,2,Bus,25,0.453,,Dancing,500,,500,,,
,,,,,,,,,,,,,,,,,,,
Australia,Tasmania,Male,13,Right-handed,162,28,161,2,Bus,15,0.1,67,Cricket,1000,468,1000,651,273,433
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Male,11,Right-handed,154,26,149,1,Walk,4,0.42,,Football/Soccer,1,1000,1000,308,291,997
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,14,Right-handed,161,20,161,1,Walk,30,0.29,26,Tennis,1,1,184,1,66,78
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,12,Right-handed,156,28,165,1,Car,2,0.28,65,Rugby League,480,155,427,155,344,557
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,13,Right-handed,176,29,78,1,Rail (Train/Tram/Subway),50,0.37,51,Other activities/sports,551,545,354,139,868,761
,,,,,,,,,,,,,,,,,,,
UK,u.s.a.,Male,18,Right-handed,170,30,172,1,Car,25,0.56,32,Bowling,958,1000,1000,993,66,39
,,,,,,,,,,,,,,,,,,,
Canada,Nova Scotia,Female,13,Right-handed,153,23,148,2,Bus,15,0.39,36,Running/Jogging,476,701,492,476,556,968
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,14,Right-handed,160,23,130,1,Bus,30,0.49,62,Football/Soccer,503,533,444,318,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,14,Right-handed,185,28,190,1,Cycle,15,0.4,42,Skateboarding/Rollerblading,616,438,911,704,858,852
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,8,Right-handed,140,42,128,3,Car,50,0.45,66,Swimming,444,391,740,273,403,232
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,13,Ambidextrous,173,32,173,1,Bus,45,0.359,,Dancing,750,,500,,,
,,,,,,,,,,,,,,,,,,,
UK,Home Counties,Female,13,Right-handed,161,24,110,1,Walk,5,0.4,43,Football/Soccer,824,722,561,582,290,239
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Male,12,Right-handed,165,27,34,1,Walk,5,0.437,,Rugby,750,,750,,,
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,18,Right-handed,169,23,166,1,Bus,60,0.5,58,Walking/Hiking,310,321,390,246,663,850
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Male,12,Right-handed,162,24,174,1,Walk,25,0.408,,Basketball,1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,17,Right-handed,188.5,27,187.5,1,Car,3,0.652,63,Basketball,684,738,513,824,882,813
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,14,Right-handed,159,25.5,151,2,Bus,12,0.321,32,Football/Soccer,535,273,102,545,107,75
,,,,,,,,,,,,,,,,,,,
Canada,Quebec,Female,12,Right-handed,162,24,166,2,Bus,15,0.422,48,Swimming,882,765,626,529,545,476
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Female,13,Right-handed,166,26,169,2,Car,5,0.31,30,Netball,184,367,551,190,799,834
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,13,Right-handed,165,22,165,1,Bus,15,0.937,,Hockey (Field),1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
New Zealand,Canterbury,Female,10,Right-handed,138,21,139,1,Car,5,0.485,,Other activities/sports,1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
New Zealand,Waikato,Male,7,Left-handed,140,23,139,1,Walk,15,0.781,,Tennis,1000,,500,,,
,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Male,12,Right-handed,146,23,146,1,Walk,15,0.517,42,Hockey (Ice),626,642,572,380,27,11
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,12,Right-handed,157,21,155,2,Walk,20,0.37,32,Netball,740,1000,557,610,982,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,10,Right-handed,133,25,135,3,Bus,15,0.375,46,Hockey (Ice),1000,1000,1000,1000,604,567
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Female,14,Right-handed,165,23,158,1,Walk,25,0.6,40,Netball,657,604,834,728,687,693
,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Male,16,Right-handed,180,27,180,1,Walk,50,0.454,55,Basketball,1000,487,1000,1000,984,1000
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,12,Right-handed,154,25,149,2,Rail (Train/Tram/Subway),25,0.34,41,Rugby Union,1000,1000,1000,1000,503,669
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,12,Right-handed,161,35,161,2,Walk,2,0.31,61,Football/Soccer,291,409,604,232,1000,1000
,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Male,11,Right-handed,139,20.5,137,1,Walk,6,0.475,24,Basketball,743,807,947,786,872,984
,,,,,,,,,,,,,,,,,,,
Canada,Quebec,Male,15,Left-handed,160,23,160,2,Bus,30,0.533,54,Football/Soccer,150,406,150,583,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Male,14,Right-handed,173,24,174,1,Walk,15,0.344,,Football/Soccer,0,,250,,,
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,12,Ambidextrous,144,20.5,147,2,Walk,5,0.468,38,Swimming,1000,1000,1000,930,433,91
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,13,Right-handed,162.5,23.5,167.5,3,Car,1,0.375,48,Tennis,615,556,497,497,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,13,Right-handed,157,22,157,1,Car,20,0.34,38,Football/Soccer,1000,1000,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,13,Right-handed,158,22,155,2,Bus,15,0.312,,Netball,750,,750,,,
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,9,Right-handed,163,26,164,1,Bus,40,0.5,45,Dancing,840,752,775,610,433,421
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,11,Right-handed,155,22,145,1,Bus,30,0.437,48,Hockey (Ice),615,604,540,1000,230,460
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,10,Ambidextrous,143,23,136,1,Car,10,0.52,43,Gymnastics,862,874,886,892,515,743
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Female,7,Left-handed,140,20,136,1,Cycle,10,0.84,59,Basketball,509,385,616,486,734,515
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,14,Left-handed,186,25,106,1,Car,20,0.26,46,Walking/Hiking,427,297,900,545,669,616
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,13,Right-handed,163,23,158,1,Bus,30,0.45,60,Dancing,752,740,852,551,498,793
,,,,,,,,,,,,,,,,,,,
UK,East,Female,12,Right-handed,155,22,166,2,Car,10,0.4,49,Swimming,500,500,500,500,500,500
,,,,,,,,,,,,,,,,,,,
Australia,Tasmania,Female,13,Right-handed,158,23,162,2,Car,20,0.42,48,Basketball,882,1000,823,598,923,645
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,9,Right-handed,145,23,145,2,Walk,1,0.45,41,Football/Soccer,1000,868,827,868,456,665
,,,,,,,,,,,,,,,,,,,
UK,South East,Male,12,Left-handed,155,25,142,2,Cycle,15,0.82,43,Cricket,749,622,500,500,128,56
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,11,Right-handed,130,30,150,1,Bus,25,0.37,52,Gymnastics,297,1000,811,1000,255,592
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,12,Right-handed,152,22,152,1,Car,10,0.4,30,Netball,809,1000,916,671,384,163
,,,,,,,,,,,,,,,,,,,
UK,North West,Female,12,Left-handed,153,23,150,7,Walk,30,0.87,49,Dancing,1000,1000,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,11,Right-handed,139,20,139,1,Car,10,0.4,47,Baseball/Softball,1000,1000,815,821,641,773
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Male,15,Right-handed,166,28,170,1,Cycle,22,0.26,24,Football/Soccer,1000,811,811,864,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Female,8,Right-handed,144,22,139,1,Car,10,0.4,41,Dancing,834,722,1000,829,533,503
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,11,Right-handed,147,25,147,1,Car,7,0.35,40,Rugby League,1000,1000,1000,1000,31,38
,,,,,,,,,,,,,,,,,,,
UK,South,Female,13,Right-handed,161,22.5,164.5,1,Walk,5,0.32,30,Dancing,752,620,541,897,626,743
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,12,Right-handed,164,25,168,2,Car,3,0.46,40,Dancing,728,734,1000,1000,,220
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,15,Ambidextrous,177,30,184,2,Walk,15,0.32,38,Football/Soccer,805,36,214,503,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,14,Right-handed,173,25,180,1,Car,10,0.39,43,Athletics,297,149,137,610,208,521
,,,,,,,,,,,,,,,,,,,
UK,Home Counties,Female,14,Right-handed,164,22,162,1,Car,15,1.29,44,Dancing,622,1000,743,1000,327,566
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,15,Ambidextrous,180,30,162,2,Bus,10,0.412,48,Football/Soccer,128,107,1000,75,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,10,Right-handed,138,21,138,1,Car,5,0.51,78,Other activities/sports,858,1000,840,805,285,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Manawatu-Wanganui,Male,11,Right-handed,148,19,148,1,Walk,25,1.796,,Rugby,750,,500,,,
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Male,11,Right-handed,150,23,145,1,Car,4,0.34,38,Tennis,888,799,817,799,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,13,Right-handed,168,26,156,1,Bus,52,0.36,24,Rugby Union,237,385,557,332,1000,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,14,Right-handed,154,24,160,1,Bus,20,0.297,60,Basketball,11,11,5,16,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Male,16,Right-handed,185,28,186,1,Car,10,0.37,48,Hockey (Ice),746,817,651,634,415,545
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,12,Right-handed,162,22,164,2,Car,25,0.506,,Other activities/sports,1000,,500,,,
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Female,11,Right-handed,134,21,129,2,Car,5,0.54,35,Dancing,1000,1000,1000,1000,1,
,,,,,,,,,,,,,,,,,,,
UK,North West,Female,13,Left-handed,154,24,90,1,Bus,45,1.03,40,Other activities/sports,613,806,677,355,129,0
,,,,,,,,,,,,,,,,,,,
New Zealand,Wellington,Female,14,Right-handed,164,25,173,1,Car,25,0.422,,Tennis,750,,250,,,
,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Male,14,Right-handed,163,32,164,1,Walk,10,0.361,46,Other activities/sports,16,21,16,16,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Male,14,Right-handed,185,30,21,6,Car,15,0.422,,Other activities/sports,500,,500,,,
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Female,15,Right-handed,159,23,156,2,Walk,1,0.53,36,Tennis,1000,651,651,1000,1000,793
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Male,16,Right-handed,162,30,162,1,Bus,5,0.29,47,Other activities/sports,1000,1000,1000,1000,196,503
,,,,,,,,,,,,,,,,,,,
New Zealand,Wellington,Male,15,Right-handed,175,30,90,2,Bus,15,0.36,,Basketball,1000,,750,,,
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,13,Right-handed,166,25.5,167,1,Bus,15,0.391,60,Hockey (Ice),1000,1000,1000,1000,524,166
,,,,,,,,,,,,,,,,,,,
New Zealand,Waikato,Male,9,Right-handed,138,10,148,1,Car,25,0.407,,Other activities/sports,500,,1000,,,
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Female,14,Right-handed,161,22,158,1,Bus,60,0.39,26,Football/Soccer,1000,521,527,734,320,539
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,12,Right-handed,161,21,24,2,Car,10,0.73,29,Football/Soccer,1000,1000,1000,332,379,255
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Female,11,Right-handed,153,23,154,2,Car,10,0.37,34,Other activities/sports,1000,1000,1000,1000,545,403
,,,,,,,,,,,,,,,,,,,
New Zealand,Canterbury,Female,10,Right-handed,138,20,131,1,Bus,15,0.532,,Football/Soccer,500,,750,,,
,,,,,,,,,,,,,,,,,,,
Canada,Quebec,Female,13,Right-handed,166,22,169,3,Bus,15,1,34,Football/Soccer,492,497,492,492,497,503
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Female,13,Left-handed,166,26,166,2,Car,5,0.48,38,Dancing,1000,1000,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Male,7,Right-handed,153,25,162,1,Car,17,0.34,49,Other activities/sports,373,421,645,456,846,858
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,12,Right-handed,157,25,165,1,Car,20,0.39,78,Football/Soccer,167,492,42,96,574,584
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,11,Right-handed,142,22,150,1,Walk,6,3.58,33,Other activities/sports,882,876,882,515,917,1000
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Female,9,Right-handed,137,21,132,1,Car,2,0.4,45,Gymnastics,1000,1000,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
Canada,Saskatchewan,Male,10,Right-handed,146.5,24,149,1,Cycle,5,0.375,46,Hockey (Ice),658,545,765,850,358,70
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,9,Right-handed,142,21,160,2,Walk,2,0.34,47,Netball,1000,1000,1000,1000,1,1
,,,,,,,,,,,,,,,,,,,
New Zealand,Otago,Female,14,Right-handed,158,26,158,2,Walk,15,0.428,,Netball,750,,500,,,
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,13,Right-handed,157.5,25.5,164.5,2,Walk,7,0.501,29,Dancing,743,508,433,684,91,348
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Female,14,Right-handed,162,23,163,1,Bus,10,0.43,36,Netball,982,1000,1000,982,66,137
,,,,,,,,,,,,,,,,,,,
New Zealand,Wellington,Male,11,Right-handed,144,25,147,1,Walk,5,1.802,,Rugby,500,,0,,,
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,11,Right-handed,168,30,96,1,Bus,35,0.53,43,Netball,1000,1000,474,1000,509,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,9,Left-handed,141,23,142,1,Car,25,0.406,,Dancing,750,,750,,,
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Male,14,Right-handed,165,25,160,1,Walk,15,0.28,48,Other activities/sports,817,811,817,817,,243
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Female,13,Left-handed,157,23,158,1,Car,5,0.49,31,Tennis,1000,521,456,279,72,48
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,13,Ambidextrous,156,28,154,1,Car,4,0.491,36,Bowling,417,118,754,578,759,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Waikato,Male,12,Right-handed,152,23,148,1,Car,15,0.483,,Football/Soccer,0,,250,,,
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,10,Right-handed,152,23.5,150.5,1,Bus,10,0.516,62,Martial arts,963,615,658,11,1000,337
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Male,9,Right-handed,124,7,130,1,Bus,6,0.37,64,Football/Soccer,1000,1000,1000,592,208,752
,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Male,11,Right-handed,150,23.5,149.5,1,Car,15,0.411,44,Football/Soccer,503,503,695,513,455,460
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,17,Right-handed,162,21,162,1,Car,10,0.381,31,Rowing,556,551,706,888,70,64
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Female,12,Right-handed,152,24,156,1,Bus,25,0.4,32,Netball,252,338,746,167,563,261
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Male,12,Right-handed,141,23,143,1,Walk,5,0.375,,None,1000,,750,,,
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,15,Right-handed,168,29,170,1,Car,5,0.407,30,Walking/Hiking,786,786,497,283,1000,1000
,,,,,,,,,,,,,,,,,,,
UK,West Midlands,Male,13,Right-handed,147,22,151,1,Cycle,5,0.4,102,Cycling,716,707,664,500,579,604
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Male,10,Right-handed,145,25,56,1,Cycle,3,0.4,99,Rugby Union,291,433,574,888,610,693
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,11,Ambidextrous,165,27,165,2,Car,4,1.23,29,Tennis,829,651,634,710,840,894
,,,,,,,,,,,,,,,,,,,
Canada,Nova Scotia,Female,14,Right-handed,168,27.5,165.5,1,Car,3,0.313,38,Swimming,1000,1000,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,10,Right-handed,156,24,147,1,Bus,60,0.32,56,Cricket,1000,492,1000,1000,172,1000
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,12,Right-handed,155,24,154,1,Rail (Train/Tram/Subway),20,0.35,51,Cycling,438,574,273,734,220,172
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Male,9,Right-handed,145,20,142,1,Car,4,0.35,70,Football/Soccer,1000,734,1000,1000,1,
,,,,,,,,,,,,,,,,,,,
Canada,Manitoba,Female,14,Right-handed,157,23,155,1,Walk,20,0.359,23,Dancing,487,631,401,422,893,920
,,,,,,,,,,,,,,,,,,,
UK,South,Male,14,Right-handed,156,32,156,3,Car,10,0.45,29,Cricket,774,701,824,627,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,12,Right-handed,153,24,154,1,Rail (Train/Tram/Subway),35,0.31,42,Football/Soccer,498,350,350,622,657,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Canterbury,Female,14,Right-handed,172,25,175,2,Car,5,0.44,,Other activities/sports,0,,0,,,
,,,,,,,,,,,,,,,,,,,
UK,South,Male,14,Right-handed,178,29,178,1,Cycle,5,8,99,Athletics,500,500,500,500,500,500
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,12,Right-handed,153,25,158,1,Car,6,0.45,39,Rugby League,740,362,220,66,13,385
,,,,,,,,,,,,,,,,,,,
UK,Home Counties,Female,12,Right-handed,152,21,148,1,Bus,30,0.32,54,Athletics,360,416,438,595,812,843
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,14,Right-handed,166,24,164,1,Bus,30,0.401,43,Tennis,326,599,64,80,1000,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,13,Right-handed,176,29,176,1,Walk,10,0.561,38,Swimming,1000,1000,1000,1000,444,449
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Male,11,Right-handed,155,24,154,2,Walk,15,0.85,,Football/Soccer,1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
Australia,Tasmania,Male,17,Right-handed,166,27,166,1,Bus,20,0.32,51,Football/Soccer,285,367,876,645,96,131
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Female,16,Ambidextrous,158,23,160,1,Car,5,2.7,40,Walking/Hiking,1000,1000,1000,1000,781,1000
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Female,13,Right-handed,173,25,173,2,Bus,15,0.37,37,Netball,681,988,693,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
UK,nepal,Male,14,Right-handed,188,21,92,2,Bus,10,0.61,75,Table Tennis,500,500,500,500,500,500
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Female,15,Right-handed,167,23,171,1,Bus,70,0.4,37,Dancing,267,,1000,96,113,72
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Female,13,Right-handed,157,25,159,1,Bus,20,0.32,39,Athletics,486,492,503,391,574,568
,,,,,,,,,,,,,,,,,,,
UK,London,Male,11,Right-handed,160,28,166,3,Bus,35,0.36,46,Cricket,0,806,500,1000,53,0
,,,,,,,,,,,,,,,,,,,
UK,South,Male,14,Left-handed,176,26,172,1,Walk,13,0.29,31,Basketball,199,179,197,1000,687,696
,,,,,,,,,,,,,,,,,,,
UK,East,Female,13,Right-handed,155,24,149,4,Bus,50,0.29,33,Other activities/sports,730,254,755,770,623,623
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,11,Right-handed,140,22.5,145.5,1,Bus,45,0.321,58,Gymnastics,1000,487,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Otago,Female,11,Right-handed,146,22,145,1,Bus,45,0.687,,Tennis,1000,,750,,,
,,,,,,,,,,,,,,,,,,,
